review,lable,
"Yahin qismat ki devi un par meharban hui aur “ Rehmat Gramophone House ” naami aik company ne un ke songs ki recording ki… “ Udhar Zindagi Ka Janaza Uthega ” aur Saraiki geet “ Naki Jae Gal Tu Rus Naa Ae Dhola ” ( Choti si baat par naraz ho jate ho maahi ), jab market mein aae to jaise hulchul mach gai",Positive,
Har taraf ataullah Niazi ki singing ka charcha hone laga,Positive,
Lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,Positive,
"Lekin dosri taraf village, dehaat, qasbon, buses, wagons aur chae khano mein Attaullah Esakhelvi ki awaaz ka tota bol raha tha",Positive,
Taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke Attaullah Esakhelvi ki cassette lagaoge ?Mianwali ke logon ne inhe bataya ke tumhare naam se Esakhel mein hotel khul gae hain,Positive,
"Jagah jagah tumhari taswirein lagi hain aur Mianwali mein sirf tumhari cassette he farokht hoti hai, to Attaullah Esakhelvi ne phir Esakhel jane ka qasd kiya",Positive,
Phir yeh hua ke radio Pakistan ke farmaishi naghmon ke programs mein 90 % log Attaullah Esakhelvi ke songs ki farmaiysh karte,Positive,
70 ki dehaai ka yeh wo zamana tha jab Attaullah Esakhelvi aik cassette ki recording ka muaawza 1 lac rupees liya karte the,Positive,
"Tahum radio par songs ka muaawza inhe 60 rupey ka cheque mila, jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai",Positive,
Sirf yehi nahi bal ke radio par recording se qabal inhe audition ( Awaaz Ki Qaulity ka Imtehaan ) kea mal se bhi guzarna parha,Positive,
"Phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms, cars ke sound systems aur video libraries mein jagah bana li",Positive,
Is tarah Europe aur Mashriq Wastee mein bhi wo Pakistan ki aik manoos aur maqbool awaaz ban gae,Positive,
1980 mein inho ne pehli martaba British ka tour kiya to wahan bhi dhoom macha di,Positive,
Diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaa’n ho jate,Positive,
Naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,Positive,
Is tarah wo aaj tak sab ke Lala he hain,Positive,
Yeh aezaaz ab tak Attaullah Esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,Positive,
Inho ne hukomat e Pakistan se tamgha e imtiaz hasil karne ke sath Malika British se life time achievement award bhi hasil kiya hai,Positive,
1994 mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se Guinness Book of World record mein bhi darj tha,Positive,
"President Ayyab Khan, Mohtarma Fatima Jinnah, baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain, Lekin Attaullah Esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai",Positive,
She played a fantastic role in the drama serial “ Aangan Terha ” with Shakeel Siddiqui and Saleem Nasir ( Late ),Positive,
Bushra ansari received many more different prizes and awards in her life,Positive,
She received an award of Pride of performance and Women life achievement award from Benazir Bhutto,Positive,
Bushra ansari performed interesting role in the film “Abhi To Main Jawan Hon” from Geo TV,Positive,
"Yeh beyk waqt actress, singer, host, comedian and drama nigaar ke taur par pehchani jati hain",Positive,
Inka har andaaz munfarid aur har roop judagana hai,Positive,
"sanjeeda acting, comedy, parody, singing, hosting aur ab drama nigari",Positive,
Jis se in ki do betiyan hain,Positive,
Intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,Positive,
Bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,Positive,
"Career : Bushra Ansari sirf 9 saal ki umer mein he PTV ke children music show, Kalbon ki Mala ki regular performer ban gai thin",Positive,
Is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,Positive,
"Bunyadi taur par yeh bahon ka show tha, lekin ise har umar ke nazreen barhe shauq se dekha karte the",Positive,
Bushra ne sab se pehle Iqbal Ansari ke aik drama mein acting ke johar dikhaey,Positive,
Lekin Bushra ko sab se ziyada shohrat Anwar Maqsood ke show Shosha se mili,Positive,
Yeh character itna popular hua ke jab kabhi Bushra Ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,Positive,
"Bushra Ansari ka aik aur aeham show Aangan Terha hai, jise Anwar Maqsood ne likha aur us mein inho ne Shakeel Siddiqui aur Saleem Nasir Marhoom ke hamrah yadgar performance di",Positive,
Comedy shows ki bat ho to sab se pehle PTV ki tareekh ke maqbool tareen show Fifty Fifty ka naam zehan mein aata hai,Positive,
is show ko maqboliyat ki bulandiyon tak pohnchane mein Jahan Ismail Tara aur Majid Jahangir ki lajawab performance ka dakhal tha to Bushra Ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,Positive,
"Bushra Ansari ne har umer ke role adaa kiye hain, jin mein young, udherh aur old age sab he shamil hain",Positive,
"Personality : Bushra Ansari ko sirf acting mein he malka hasil nahi, bal key eh aik shandar shakhsiyat ki bhi malik hain",Positive,
Yeh guzishta 40 saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,Positive,
kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,Positive,
Chand maah qabal inho ne Geo TV ke show Dolly ki Aaegi Baraat mein Saima Chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,Positive,
Yaar yeh be fitt ha.,Positive,
Ap to hero ho  . Autograph do na ??,Positive,
Autograph milay ga ..zroooor milay ga,Positive,
Apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr ??,Positive,
HAahah...han zroor....yar mjhe acha lgta jb yeh ese post krte,Positive,
Hahahaa...qasmay dil ki awaz h meri ye page :-D,Positive,
aala :D :D,Positive,
buht achi bat kahi he,Positive,
uff yeh apki paakbaaz soch :'),Positive,
Cara Jvd bilkul aisa hi kuch main apko b kehna chahti hn :D,Positive,
Hahaha wah saen wah ???,Positive,
Hahaha... ye time ni nikal skta... u r too demanding girl,Positive,
Khushi se hori hy itne likes dekh k,Positive,
Ufff dono kis trha parri hain :D:D chalo na krwao :p,Positive,
Akhir student kis k hnnnnn...???,Positive,
aap tau millionaire ban jaen gee,Positive,
"Pskistani jawano, lagatay raho imran khan k doz. aik din number one per aa jAo gay,
Tabdeeli",Positive,
Hahaha  tum to hurr jaghaa famous ho <3,Positive,
caption khass ap ky liye :'D,Positive,
"Apnay kharchay khudd uthaa saknay wali independent aurat ko, jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay, (k g mein tou boht azeem aadmi hun k o biwi, tumhara kharcha uthaa rha hun) izzat k sath zindagi guzaar rhi ho, ussay kehtay hain kaamyaab aurat.",Positive,
Meri nazr me kamyab orath wo he Jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho.,Positive,
...talaash jaari rakhein aap aik din kamyaab aurat banein gi..???,Positive,
Inshallah hum dono kaamyaab rhen apne naik iraadon mein???..tune tou shiad dhond liya???ya abhi bhi talaash jaari??,Positive,
Hehehehehe unmarried hona chahiye bs ?,Positive,
Oooppss to phle bolti na dash mjhe lga Meri pysri dost mere liye soch rhi hai ?? chal tu rakh Lena?,Positive,
kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun ??,Positive,
Mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme?,Positive,
mil jae ga dnt worry,Positive,
Dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai?,Positive,
32k mn kia hoga yr xD,Positive,
Abhi 5o party shoro hoi he,Positive,
Hahaha  kal ki debate k baad kamyab aurat ka award aap ko jata hai,Positive,
Hahahaha shukria shukria,Positive,
yani hum dono kamyab hain ??,Positive,
kyn k tu khud ek kamyab aurat hai lol apni mehnat se ??,Positive,
Yeh tou hai mard apni biwi ki kismat say hi kamaata hai,Positive,
Hum hun gay kamyab aik din ,Positive,
Mene dhoundh lia akhir ?? ?????  I m lucky ??,Positive,
hum honga kamyab aiek din????,Positive,
hum 2no e kamyab hain ????,Positive,
wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai?,Positive,
hum kaamiyab hein ?,Positive,
Jab dono khameeyab Haan tou Bari kushe ki bat ha jasy men khmeeyab mard,Positive,
Alhamdulillah me kamyab aurat,Positive,
bilkul sahi kaha,Positive,
bhai app kamyab hain ??,Positive,
Although ham nay apny kharchay kam kr liay han hahahahahahah,Positive,
ameen han sana no extravagence,Positive,
bt dil ko achi lgi.,Positive,
Point pe hy puray ?,Positive,
ye hoti hai kamyabi ?,Positive,
Mil jaye ga .... Apna dhondh ln phir tmhry leay b ?,Positive,
"Haha acha chlo koshish krna dono bhai hon, aur bara vala mra?",Positive,
Haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g ?,Positive,
"Har pal har dum azam hmara,
Sb sy perfct jo vo shakhs hmara????",Positive,
Yr wesy mil k sb ko set kr dyn gyn ?,Positive,
Ptq ni ab set krengy ya khud set hongy?,Positive,
Bs sai wa swery fir uni da hostel done ay :-D,Positive,
Haha idea bura nai tha wesy chalo nxt sae ?,Positive,
Aisaaa hi hai...,Positive,
tere lye bday gft mil gya?,Positive,
koi issue nai bhale mera cup use karen ? beta meri bottle b har koi use karta hai,Positive,
Pyar bharta h ase,Positive,
shareef hi hai,Positive,
tm dost ho yar keh skti ho,Positive,
me idhr b aisi hun apko islamabad ka shak pra rehta?,Positive,
Alhumdulilah ghalazat to nhi hai ???????,Positive,
Hahah hum bi apko sharif hi smjta han jnb,Positive,
Haha Haha haye mei war jaon???,Positive,
tm mere kch kehne se pehle he smjh jatay ho sb,Positive,
Woh to MASHA'ALLAH se meri qabliat Hai.. ,Positive,
ye apke liye likha gaya hai ... area per square eench :P,Positive,
Bhai main ek shareef insan hon :-P,Positive,
yd h aik mohtrma hua krti ti shareeef tareeen bibi ???,Positive,
Haha...mtlb main shareef nazar aati hun...??,Positive,
no galazaat,Positive,
Wo to shukar hy aesi technology ai nh abhi??,Positive,
shreef bcha,Positive,
hn hn bohot shreef,Positive,
bht saaaf or shareeef hun koi ghalazat nai ?,Positive,
wah wah kia soch pyi hy shahneez?,Positive,
dair aye pr drust aye ??,Positive,
hi rabi tu kitni famous hu gai,Positive,
Hell true :-/ waday tusi sharif hunh,Positive,
Han koi shak ni,Positive,
pyari baat,Positive,
....ap k liay kuch khoobsurat batain??,Positive,
Ap b shreef hain isi leye mn apko shareef lgi ?????,Positive,
Sahi Kaha??,Positive,
Shabash khabeesni ..sahi boli aik dum !!,Positive,
Aur tm safai se kr jati ho ?????,Positive,
Moqay py choka,Positive,
Sb hi mazay k hain,Positive,
aja pilati??,Positive,
Janeman sari chizaaay kehlaooo gi treat pr,Positive,
Sharab pin gy wd sheesha ??? sutty lgain gy jani sutty,Positive,
ye ly or fkr na kr hm 7 7 hain,Positive,
Peene wala bann aja.. tujhy sahi se coca cola pilaoga..,Positive,
Buri bat achhy bchchy galiyan nhi dety,Positive,
ap mahaan ho ap india chaly jao ?,Positive,
anum tum kini pyari ho,Positive,
Bas bas bhan itna pyar na do samhala nae jay ga???,Positive,
aray is se b ziada don gi ane to do?,Positive,
Sae kha,Positive,
Allah ka shuakr hy ye tw hum per ?,Positive,
changi gal hy,Positive,
hum girls hn isliye judge kr skti hn but as a psychologist nhe kr sktien...ajeeb bat h?? mem ko btaen gy hum kr skti hn judge bcoz we r girls??,Positive,
ya ya.. they have all rights to do that with out any regret ?,Positive,
Hahhahaha kesy hm apny points ko defend krty hy use hm BBA krny k bad bhi lawyer bn skty hy ?????,Positive,
wo to hm bne bnaye hain ? ??,Positive,
Hehehe bs kbhi Gharoor nhi keya??,Positive,
Don't care :-D..judge kro hamen or saro :-\,Positive,
our "Aja khedeye" is zada cute ??,Positive,
Uper waly portion will always welcome them?,Positive,
Hahaha a jaoo yahe kam best haii ab ???,Positive,
Or baray achay say Yeh kaam hum anjaam detay hain??,Positive,
bs dehko urdu agye parhna :')???,Positive,
Hehehehe wo b spcl logn koo judge kia jataa naa meshhhhiii proud to b spcl one????,Positive,
Tmara pasandeedaaa kam :-D,Positive,
hmri jugjmnt kaml ki ha nw ?????,Positive,
Hahahaha bht hi enjoy karty thy hm gari me fiza k sath b ..,Positive,
O haan fiza Hahha usy kdr bhool skty hahahha,Positive,
Hahahahahahahahaha chalo chalo naiki aur pooch pooch ??,Positive,
?? men samjha ap ne likha h ao logon ko haj kratay hen lol,Positive,
behtreen hogaya ???,Positive,
Jao ja k hajj kro,Positive,
ajao yah hmara fvrt kam ha ?,Positive,
ajao...ajj main mood main houn,Positive,
Haa sahi gaalh aaah..,Positive,
ao un k gunah kum krty hain ???,Positive,
Aur unhy pak krty hain??,Positive,
Hmari tu prediction b sahe hoti hai,Positive,
fiqr na faqaa aish kr kaka,Positive,
"Jaani grand party hogi I am overexicted for your day???,
 Tu lagdi Lahore ki cause Tera Mohn chetaa hath kalay??",Positive,
Hahahah hawn kh dn gii? tm b mera taraf sy uncle aunty ko shukriya kh do?,Positive,
Jizroor ..... Mei apne aunty  ka dilse Shukriya Ada krti huu ????,Positive,
anty ko thanksss bol...anty I love you? thanku so much?,Positive,
Mera to Salam bol pair chhuuuh anti ne mjhe Jo btya tha hahahahahahahahaha,Positive,
yes of course i'm thankful to your parents namooni :* <3 <3,Positive,
phupo ko thanks bolin meri trf sy bht bht ???????,Positive,
Uncle anti ko dill ke gahriyoen sa thanks bolna mere traf sa ????,Positive,
aunty uncle ko yaad se thnku bolin meri taraf se ??,Positive,
aunty k lie meri taraf se aik chummi idhr aik chummi idhr :'),Positive,
bht shukria rna m apni dil diyan gallan kisko sunato?,Positive,
....mairi taraf sy uncle aunty ko thanks bolna,Positive,
uncle anty ko meri taraf syyyh buht buht shukriaaaa kehna ??,Positive,
Hahahah ok ok Aur meri taraf say be uncle aunty ko shukriya keh Dena ??,Positive,
Hahahaha meri trf se b uncle aunty ka dhanaywaad??,Positive,
Kancha item dia h inshort????,Positive,
meri zindagi k tum anmol namonay ?,Positive,
Hahaha dekha hamari importance ?,Positive,
shukriya bht bht aapke parents ka k mujhe yeh gift diya unho ney ??,Positive,
thank u uncle anty ?? warna mai incmplte rh jati ??,Positive,
shukr hy ye namoona peuda kya. Thanks to uncle aunty ???,Positive,
By itkhtyr qahqa laga h myra???? tm b bst sy opr ho,Positive,
tmahari ammi abu ka shukrea tmhari birthday pe kea tha ada mene..  ab tmhari b aari birthday unka b krungi??,Positive,
apni mama ko zarur thanks keh dena from my side ??? loveeee bohat cute ho tm,Positive,
Aunty ko bhttt bhttt shukriya kehna,Positive,
Hahahahaha bas bas is khushi Mai Kal dilpasnd ki meethai le aana,Positive,
uncle aunty ko meri trf se 21 topon ki salamiii....??,Positive,
aunty ko mri trf se thanku bol dena with kissy,Positive,
Its a Great Pleasure??,Positive,
mn khudhh aungi specially,Positive,
.? Thanks boldenA meri taraf Se,Positive,
thank u bol apne parents ko meri taraf se ?,Positive,
Hahah wai I owe a special thankyou party to uncle n aunty then ?,Positive,
"D ke la ma ta tag koli,BTW a big thankooo????",Positive,
Sana Butt Should i tag your mama? ?,Positive,
tum na paida hti to kya hta mra,Positive,
mama ko zaroor thanks kahin ??????,Positive,
k momy daddy apka thankyu ???,Positive,
Yeah cx they deserv .... akhir koi km karnama nae kia shukrany k nafanil ada krny hi chaheay ?,Positive,
meri taraf se bohat shukriya.. :p,Positive,
aunty specaily ap ka bht shukriya??,Positive,
antiii ne bht naik kaam kiya ??,Positive,
Thank you so much aunti ?,Positive,
Main tou fakhar kar rahi hun ?,Positive,
Alhamdulillah ?,Positive,
mai shukar guzar hn ami abu ki :-/,Positive,
thankyou bolna ami baba ko ?????,Positive,
ama ko thanx kehna apni??,Positive,
Still u r my buddy ?,Positive,
", ? Aunty Fari ko shukria kehna ?",Positive,
Haha i love u so much meri jan,Positive,
thanks to parents,Positive,
thankew sooo mch anty ??,Positive,
Hahaha .... ma zaror karu g,Positive,
???,Positive,
phupho thanku ??,Positive,
thank u JAAN G ??,Positive,
Uncle aunty ka shukriya ada karna :D :P,Positive,
Lol same to your parents as well,Positive,
bht hi na shukari ho waisay,Positive,
hahahhaa shokhi,Positive,
Shukriya shehzadi auntie,Positive,
Anyaa ye tm.ne kha tha mjhe?????,Positive,
Lol,Positive,
aunty ko shukria kehna :D,Positive,
Okay ?,Positive,
chor tujhe unki nazar mn girana nhi chahti ?,Positive,
:D :D bs dil se dil ko raah hoti hai :D,Positive,
Hahahahaha wah,Positive,
uncle ko tag kron.?,Positive,
robina aunty ka shukria adda kr dun unhe add kr ke ?,Positive,
Heer Naqvi,Positive,
Hassan Husnain,Positive,
reply kia na,Positive,
YE aunty ko dikha do Please :D,Positive,
uncle aunty ka num de,Positive,
Haniya Khan.,Positive,
Hahaha?,Positive,
Zaib Usman?,Positive,
Hadia kh,Positive,
atiya nisar,Positive,
Tmhari ami ko b ?,Positive,
Me b cemnt agency walo ka bra shukrguzar ho hahahah,Positive,
aunty bht bht shukriya????,Positive,
Hahahhahah?,Positive,
Heheheh..:)),Positive,
Tag them please! !!!??,Positive,
Hahahaha main is main tumhain tag karnay wali thi.. ?????,Positive,
Jo chpairh wo maarain agay se uska kya???,Positive,
Anty uncle ko kehna zra??,Positive,
hate u,Positive,
Seriously Ajoobaa ?,Positive,
thank you much...one of a kind hun afterall...:D:D,Positive,
Lol namoona nai anmol ?,Positive,
Lkn mea q,Positive,
pass on the message ??,Positive,
"hahaha, ni ye meri traf sy anti ko dikhao??",Positive,
Tmra knsa muun ni ha?,Positive,
say my thanks to uncle and aunty ???,Positive,
Love you too my honey ??,Positive,
Hahahah,Positive,
naughty girl,Positive,
hahhahahha thanks fakhira parveen aqal deny k liye,Positive,
Heheee,Positive,
Aunti add hi ni warna me unki shaan me qaseeday likhta ??,Positive,
Hahahaha shukria ???,Positive,
Hahahaha,Positive,
Hahahha,Positive,
bus is main se ice cream hata do?,Positive,
miss those midnight snacks ?,Positive,
I haven't eaten any pizza and burger from last two months and,Positive,
"Ek hi baat hai,
Mai kron ya ap...",Positive,
Soch dekho hamari kitni milti hai ??,Positive,
Hahahaha,Positive,
Motuuu mjhe bhi bhej mai bhi jag luga,Positive,
?my version of dieting??,Positive,
Ye tmhary wali diet ??,Positive,
Buahhahaa yeahhh,Positive,
That's what I do ???,Positive,
Sta kho sa khwata nakige ?,Positive,
Ri da,Positive,
mc donaldzzzz ??,Positive,
Haha,Positive,
Many Kb pochaaa,Positive,
Uff esi diet,Positive,
Yumna too bhi shamil hey,Positive,
Bilkul sahi kaha,Positive,
G Bilqul aisy he hai... I agree with u...,Positive,
Beshak,Positive,
Bilkuk sahi kaha .faisal qureshi ka kush kadre bhater show ha .,Positive,
Done. ? Thanks Urdu Safha’s Admin for such initiative.,Positive,
Agr hm awaam he inlog ko ehmiyat dena or dekhna or feed back dena chordenge to ink shows ki koi value nahi rehegi,Positive,
Hum sab ko milkar Pakistan aur islami aqdaar ki hifazat Karni hay musalmaan hony ka farz ada krein,Positive,
Sahil Lodhi ka kya? Ma bap zimadar WO keu apni bchieo ko bhjty in ke ghart kidr hote,Positive,
Sahi baat ha,Positive,
bilkul darosat .....,Positive,
Bilkul sahi,Positive,
Bilkul sahi kaha.aap.? .ey,Positive,
Bilco yh zaror hona chahey,Positive,
Bilkul thehk.,Positive,
Bilkul,Positive,
Beshak zaror krwana chaye,Positive,
Sare comments bilkul sahi hn m sb ki taed krti Hun aur sb k sath hun,Positive,
Taab too hum khud unn Koo saport karay hootay hai,Positive,
Yar ajkl sakht pareshan hu rozgar ki fikr me bht acha lga parh k,Positive,
har taraqi ke leye islam zrori ha,Positive,
beshak,Positive,
khoob,Positive,
Boht aalaa,Positive,
Jis na kha ha ci kha ha,Positive,
"Allah ki raza mandi ke bagir koi cheez hasil nahi ki jasakti, chahe insan kitna hi yaqeen or nazmosabt ke saath hasil karne ki koshish karle......",Positive,
dil ko sukoon deney wali tehreer kash aesa wagat dobara aa jaey,Positive,
Jis ne likha he bohat behtareen likha ... wah wah,Positive,
Same thing k Aik bunda Chauti burai ko Sahi samajh k kerta hay to Wo Bari burai ko Asan samajh leta hay. Bacho ko roshnash karana apnay tahafuz k lye Buri baat Nahi.,Positive,
Jis nay asbiat ki taraf dawat di us nay zulm ki taraf dawat di yehi asbiat to pehlay east Pakistan ko kha gar ab baki ko kha rahi hai ?,Positive,
"Ap hongi, hum tou muhabbat bantnay walay hy, we beleieve in equal rights",Positive,
Such kaha..!,Positive,
lol is page waly ki DP dekh or bat kia karaha yeh ,Positive,
Iss mein koi burai nahi hey,Positive,
Hidayat ki dua kije or roye aise logi par tv me dikhane se kuch nahi hoga agar aap rokne ki takat rakhti he to rokiye varna dil me bura janiye lekin uske gunaho ko kisi pe ujagar mat kariye Yeh Allah or bannde ka maam la he bas uske liye astag far kariya or meri bato ka bura laga ho to mujhe bhi maaf kijiye,Positive,
AIK HADEES HEY MOMAN KABHI LAAN TAAN NAHIN KARTA,Positive,
Ye follow nh kr rha unki khushyon m shamil hua h bs,Positive,
Namaz qaim kro kiun k namaz behayai sy rokti hai.... islam mein hukam k sath reasoning bhi hai... bss aqal mand logo k liye he nishaniyan hai aur wohi samjhty hain inko,Positive,
Aur islaam mein soor ka goosht khana haram hai...lehaza kiun k uss mein bht harmful steroids hty jo insaani jism ko sakht nuksaan pohnchaty... aur islaam mein hr wo cheez mana hai jiska insaan ko nuqsaan hai,Positive,
Wah zbrdst,Positive,
"thek, ALLAH pak ka koi b hukam maslehat k baghair nai.",Positive,
PM NawazSharif Ki Nawasi Mehar u Nisa Safdar Aur Raheel Munir Ka Nikah Masjid Nabvi Mein Munaqid PM Samait Ahal e Khana Ki Shirkat ,Positive,
Sub Se Zaiyda Mein 136 Jagah Hazrat Mosa A S Ka Zikar Aya Hain ,Positive,
Tareef Kiya Huwa ,Positive,
Har Musalman Mard Aurat Ghulam Aazad Chotay Baray Par Namaz E EID Se Pehlay Sadqa E Fitr Dena Lazim Hai,Positive,
Mullah Umar Ne Afghan Hukomat amp Taliban Muzakrat Ki Himayat Kar Di Afghanistan Se Qabzay K Khatmay K Liye Muzakrat Jaiz Hen Paigham ,Positive,
Skin Saf Krny K Liye Honey Milk Or Dahi Mix Kijye Is Mixture Ko 15 Mint K Liye Skin Pr Laga Lijye Bad Mai Saf Pani Sy Dho Lijye ,Positive,
Samnay betha tha mere or wo mera na tha,Positive,
ALLAH Ki Naimaton Main Sy 1 Naimat Hy Or Moqa Mily Or Bach Jana Yeh ,Positive,
Apny Bhai Ki Madad Karo ,Positive,
Islam Musalmano K Ilam Ka Naam Nhe Un K Amal Ka Naam Hy Yani Islam Bolny Wali Baat Nhe Karny Wala Kaam Hy ,Positive,
Main Aaj Se Hi Bicha Doon Us Raah Pe Palken ,Positive,
3 Cheze Halos E Dil k sat karni Chahey ,Positive,
Es Ki Bunyad Kalma Tayyaba Par Hain,Positive,
14 Se 16 July Tak Karachi Janay Wali Trainon K Kirayon Me 50 Kami Khali Trainen Wapsi Per Senkron Musafiron Ko Lati Hen ,Positive,
Subai Hakumat Ne Chand Raat Per Hawai Firing Karne Per Pabandi Aid Kr Di ,Positive,
Nishaniyan Ka Pani Metha Hojana Na Ziada Sardi KhuLa Huwa Shu a K TuLu Hona ,Positive,
Eid Ul Fiter Per Bi Barishon Ka Imkan ,Positive,
Tabdeli Yhi Log Laskengy ,Positive,
Masjid Qab a Is The First Mosque Where Mohammad SAW Openly Led The Regular Prayer Congregation Of His Companions ,Positive,
Darood Sharif Parh Kar Muslim Dosto Ko Send Kro ,Positive,
Doston ko Bhe Daawat Den ,Positive,
Islamabad K Baldiyati Intakhabat Jamati Buniyad Per Kraney Ka Bill Senate Me Kasrat e Rae Se Manzur ,Positive,
Incharge Officer Slaughter House Dr Ghafoor Mengal Ki Nigrani Me Govt Slaughter House Me Bemar Janwaron K Gosht Ko Jalae Gaye ,Positive,
Jo Shakhs ALLAH K Liye 1 Din Aitikaf Karta Hy ALLAH Isko Jahanum Se Zamin Asman K Barabar 3 Guna Door Kar Deta Hy ,Positive,
NAMAZ E ZUHAR Hamari Aamdani Mein Izafa Karti Hein ,Positive,
Subai Assembliyon Ki 2 Sala Karkardagi Me Khyber Pakhtunkhwa Assembly 44 Score K Sath Behtreen Qarar Survey ,Positive,
Imran amp Reham Khan Is Saal Hajj Pr Jaengy ,Positive,
Bohat say log tujhy dekh kar hamaray huwe ,Positive,
Love from Pakistan ,Positive,
2 kamyab tareen inqalab tha 36 votes ,Positive,
Last night in Dono Marches ko mila kar supporters ki total tadad 40000 tak banti hy Eye witnesses ,Positive,
Zero point k bad se bhi agy jayengy ka jawab ,Positive,
Hum kaam se gaye thy phir kaam se gaye ,Positive,
K Apni Maa k Qadmo k Nishan Dhondh Raha Ho ,Positive,
L0ve u M0M ,Positive,
Per TOOT k chahna sirf 1 baar hota hai ,Positive,
